ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.5,0.3849001794597505,0.005,14.0,-0.02834266313549229,-0.011700707031048464,-0.0002177700065983841,-0.011700707031048464,0.2076491526285154,0.005814624711456773,2.237726045655905e-16,9.813077866773594e-17,5.4826782477686775
0.5,0.3849001794597505,0.005,16.0,-0.028350986985448703,-0.011700707028580792,-0.00022604983101683074,-0.011700707028580792,0.20765031761357,0.0058146247456905,2.2247786310271853e-16,1.4488835837920476e-16,6.284724099113391
0.5,0.3849001794597505,0.006,10.0,-0.028433760277045833,-0.014045124386796053,-0.0003094198932960812,-0.014045124386796053,0.20760157154570902,0.006979774354048063,2.237726045655905e-16,9.770051323749143e-17,3.878269616030034
0.5,0.3849001794597505,0.006,12.0,-0.02843596964077646,-0.014045124385074895,-0.00031120244749174505,-0.014045124385074895,0.2076094170936787,0.006979774395111882,2.237726045655905e-16,2.0874425738630802e-16,4.681429187739566
0.5,0.3849001794597505,0.006,14.0,-0.028443340688271194,-0.014045124389579312,-0.000318447559377287,-0.014045124389579312,0.20761198425378485,0.006979774399445526,0.0,1.4833660915169986e-16,5.484100631785183
0.5,0.3849001794597505,0.006,16.0,-0.028468099895780474,-0.014045124421059686,-0.0003431627413486016,-0.014045124421059686,0.20761402866151163,0.006979774430849739,2.7755575615628914e-17,7.796612332912425e-17,6.2867902812629195
0.6,0.4618802153517006,0.002,10.0,-0.061502489666208936,-0.003854852553594877,-3.023848093382936e-05,-0.003854852553594877,0.3963104022525332,0.002193257542248528,1.1188630228279524e-16,1.0538445116559103e-16,3.884347548428734
0.6,0.4618802153517006,0.002,12.0,-0.061503211424718346,-0.003854852553493493,-3.0242175316413933e-05,-0.003854852553493493,0.3963235834727559,0.002193257550503036,2.2215299868541707e-16,2.1293730667615307e-16,4.685434469325296
0.6,0.4618802153517006,0.002,14.0,-0.06150343709284823,-0.0038548525528849104,-3.0252466833309566e-05,-0.0038548525528849104,0.3963272222849219,0.0021932575524055142,1.1188630228279524e-16,3.686287386450715e-17,5.486007988072916
0.6,0.4618802153517006,0.002,16.0,-0.06150354753523107,-0.0038548525543995633,-3.0286542104851488e-05,-0.0038548525543995633,0.3963284316736493,0.002193257558458006,1.3877787807814457e-17,1.4046172853913364e-17,6.286365530489456
0.6,0.4618802153517006,0.004,10.0,-0.061593236991975976,-0.007712482049570438,-0.00012098580670086984,-0.007712482049570438,0.3962580574954463,0.004388163422836211,2.2591401799415137e-16,1.517461693011718e-16,3.8849695044928922
0.6,0.4618802153517006,0.004,12.0,-0.0615941158251115,-0.007712482051552762,-0.00012114657570956588,-0.007712482051552762,0.39627116640594995,0.004388163447678117,2.2247786310271853e-16,1.0061396160665481e-16,4.68645009084333
0.6,0.4618802153517006,0.004,14.0,-0.06159496931368332,-0.007712482053551184,-0.00012178468766840117,-0.007712482053551184,0.3962748166169638,0.0043881634475697595,2.220446049250313e-16,6.369057972232327e-17,5.487559045023021
0.6,0.4618802153517006,0.004,16.0,-0.06159721892438703,-0.007712482045311178,-0.0001239579312608055,-0.007712482045311178,0.39627614948532597,0.004388163439775994,0.0,3.694961003830599e-16,6.2886160369990725
0.6,0.4618802153517006,0.006,10.0,-0.0617447785979739,-0.01157566718195617,-0.0002725274126987934,-0.01157566718195617,0.39617078419451945,0.006586367149946426,2.3714374201337736e-16,8.886119947416683e-17,3.886007275387531
0.6,0.4618802153517006,0.006,12.0,-0.06174727981918411,-0.011575667185736785,-0.0002743105697821796,-0.011575667185736785,0.39618388068968735,0.006586367179858499,2.220446049250313e-16,3.480531475248531e-16,4.688145513368523
0.6,0.4618802153517006,0.006,14.0,-0.06175474893585418,-0.011575667198625919,-0.00028156430983925645,-0.011575667198625919,0.39618794811359725,0.0065863672132193685,2.2887833992611187e-16,4.654751537338637e-16,5.49014973169085
