model,ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
fan_wang,0.9,0.0045,4.552107999485091,-3.881507452543493,0.0001468160132972161,-3.8782698575092907,0.0,0.0032375950342022897,-0.0001468160132972161,4.555345594519293,-0.0001468160132972161,1.0645108889363177e-07,1.4698954818551946e-07
fan_wang,0.9,0.005,4.552107999485091,-3.8815645102587597,0.0001631667229265753,-3.8782698575092907,0.0,0.0032946527494690514,-0.0001631667229265753,4.55540265223456,-0.0001631667229265753,1.9750854435177944e-07,2.727232947902506e-07
fan_wang,0.9,0.0055,4.552107999485091,-3.8816287402314704,0.00017952793345694332,-3.8782698575092907,0.0,0.003358882722179768,-0.00017952793345694332,4.55546688220727,-0.00017952793345694332,3.4753598828558394e-07,4.798838455039596e-07
fan_wang,0.9,0.006,4.552107999485091,-3.881700776557282,0.00019590298489060906,-3.8782698575092907,0.0,0.00343091904799131,-0.00019590298489060906,4.555538918533082,-0.00019590298489060906,5.823379111490028e-07,8.041024975960682e-07
fan_wang,0.97,0.0,5.740814987847592,nan,0.0,nan,0.0,0.0,0.0,5.740814987847592,0.0,0.0,0.0
fan_wang,0.97,0.0005,5.740814987847592,-4.183321509779548,3.2909195466143675e-06,-4.179642009744071,0.0,0.0036795000354770124,-3.2909195466143675e-06,5.744494487883069,-3.2909195466143675e-06,2.4996442922202944e-09,3.451553093134186e-09
fan_wang,0.97,0.001,5.740814987847592,-4.183331736693647,6.582711586688083e-06,-4.179642009744071,0.0,0.0036897269495765883,-6.582711586688083e-06,5.744504714797168,-6.582711586688083e-06,1.6958166528440728e-09,2.34161365747818e-09
fan_wang,0.97,0.0015,5.740814987847592,-4.183348780031975,9.874645857385306e-06,-4.179642009744071,0.0,0.0037067702879038933,-9.874645857385306e-06,5.7445217581354955,-9.874645857385306e-06,1.2539888341727729e-09,1.7315299832056814e-09
fan_wang,0.97,0.002,5.740814987847592,-4.1833726659109,1.3167494349365653e-05,-4.179642009744071,0.0,0.003730656166829327,-1.3167494349365653e-05,5.744545644014421,-1.3167494349365653e-05,2.752567100491569e-09,3.8007933845786095e-09
fan_wang,0.97,0.0025,5.740814987847592,-4.183403421138311,1.646339729252261e-05,-4.179642009744071,0.0,0.003761411394240355,-1.646339729252261e-05,5.744576399241832,-1.646339729252261e-05,6.334494351991861e-09,8.746781948937757e-09
