model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.9,0.006,12.0,1.0679548182930683,0.0018384450956077103,-0.0007899046786610242,0.0018384450956077103,-2.1265519231817853,-0.00040149923992505165,1.1102230246251565e-16,1.691355389077387e-17,4.815304930394189
hayward,0.9,0.006,14.0,1.067753722227101,0.0018384450010451303,-0.0007874067172881638,0.0018384450010451303,-2.1286190076742413,-0.00040149911350262357,4.440892098500626e-16,8.542522420166516e-18,5.622915672502163
hayward,0.9,0.006,16.0,1.0676895300726414,0.0018384450690227538,-0.0007696495651714486,0.0018384450690227538,-2.1296565744437843,-0.000401502889195271,8.881784197001252e-16,1.8542076143962482e-17,6.430297547493643
hayward,1e-05,0.0005,10.0,-0.9839938810614984,0.0010666752671866387,9.866116075230025e-07,0.0010666752671866387,1.7274507011975126e-08,-2.5086110789653715e-09,1.1103585416259206e-16,5.029968982661321e-23,3.973027828417914
hayward,1e-05,0.0005,12.0,-0.9842227179063332,0.0010666751572188781,9.863335820314845e-07,0.0010666751572188781,9.154299649033842e-09,-2.5086166510686224e-09,0.0,4.9781188887298875e-23,4.7892051318924835
hayward,1e-05,0.0005,14.0,-0.9843051404602221,0.0010666751408218954,9.859567927650303e-07,0.0010666751408218954,5.314795031412238e-09,-2.5086176860626945e-09,2.220513810852149e-16,1.857093341589263e-23,5.600647258049146
hayward,1e-05,0.0005,16.0,-0.9843396270812242,0.0010666751379134528,9.856648732764484e-07,0.0010666751379134528,3.3058132402222764e-09,-2.5086177396701707e-09,2.220513810852149e-16,1.8417693326376007e-24,6.409164576223297
hayward,1e-05,0.001,10.0,-0.9839909212749087,0.002133389855486629,3.946398197229861e-06,0.002133389855486629,1.729533354125319e-08,-5.017312233526504e-09,2.220717083251841e-16,2.0123753339766626e-23,3.973069755275853
hayward,1e-05,0.001,12.0,-0.9842197588651602,0.002133389635700561,3.9453747550100005e-06,0.002133389635700561,9.176058157978182e-09,-5.017323277887578e-09,3.469446951953614e-18,3.483205860672515e-23,4.789273224313868
hayward,1e-05,0.001,14.0,-0.9843021824470372,0.0021333896023696224,3.943969977715511e-06,0.0021333896023696224,5.337123292069974e-09,-5.0173257200097976e-09,2.220446049250313e-16,2.404124635825203e-23,5.600750666526498
hayward,1e-05,0.001,16.0,-0.9843366696144341,0.0021333895952293687,3.94313166340865e-06,0.0021333895952293687,3.3285343684031544e-09,-5.017325519153025e-09,2.220717083251841e-16,3.7632885094988486e-23,6.40931382124551
hayward,1e-05,0.0015,10.0,-0.9839859883001473,0.0032001830900545286,8.879372958681131e-06,0.0032001830900545286,1.7330042995097626e-08,-7.526193562876996e-09,2.220446049250313e-16,1.8382172844182646e-24,3.97313963865364
hayward,1e-05,0.0015,12.0,-0.984214826895662,0.0032001827601818578,8.87734425325526e-06,0.0032001827601818578,9.212319703963113e-09,-7.526210349005703e-09,2.2247786310271853e-16,3.5345802170839923e-23,4.789386723743638
hayward,1e-05,0.0015,14.0,-0.9842972510508395,0.00320018271092129,8.875366175331578e-06,0.00320018271092129,5.374362864912436e-09,-7.526213829307877e-09,6.938893903907228e-18,5.686866711302065e-25,5.600923038518823
hayward,1e-05,0.0015,16.0,-0.9843317353626087,0.003200182700722462,8.877383488870016e-06,0.003200182700722462,3.366412028002108e-09,-7.526214057429553e-09,1.1188630228279524e-16,3.7554962032736633e-23,6.409562608649941
hayward,1e-05,0.002,10.0,-0.9839790820600121,0.004267094297211553,1.5785613093899364e-05,0.004267094297211553,1.737863664468051e-08,-1.0035345070745721e-08,2.220446049250313e-16,1.3958672836832342e-24,3.9732374864726037
hayward,1e-05,0.002,12.0,-0.9842079209050985,0.004267093857370931,1.578333481677685e-05,0.004267093857370931,9.263087445603847e-09,-1.0035367338204544e-08,6.938893903907228e-18,3.278930182220348e-23,4.78954564827151
hayward,1e-05,0.002,14.0,-0.9842903411612265,0.004267093791366777,1.578525578838086e-05,0.004267093791366777,5.426479251887551e-09,-1.0035372091274291e-08,6.938893903907228e-18,6.362390310039855e-23,5.601164410817515
hayward,1e-05,0.002,16.0,-0.984324805549282,0.004267093777354243,1.5807196815487146e-05,0.004267093777354243,3.4194005862034345e-09,-1.0035375672089246e-08,2.2215299868541707e-16,5.751285140505014e-23,6.409911006979347
